SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024
040,08,000,00000,00000,00000,0,A,Colorado,Colorado,5775324,5787129,5814036,5850935,5901339,5957493
162,08,000,00760,00000,00000,0,A,Aguilar town,Colorado,455,454,455,454,451,447
162,08,000,00925,00000,00000,0,A,Akron town,Colorado,1769,1767,1781,1770,1773,1745
162,08,000,01090,00000,00000,0,A,Alamosa city,Colorado,9817,9812,9898,9848,9887,9906
162,08,000,01530,00000,00000,0,A,Alma town,Colorado,296,296,299,308,312,316
162,08,000,02355,00000,00000,0,A,Antonito town,Colorado,643,641,644,635,624,621
162,08,000,03235,00000,00000,0,A,Arriba town,Colorado,204,203,202,202,201,199
162,08,000,03455,00000,00000,0,A,Arvada city,Colorado,124354,124363,123512,121608,121706,121873
162,08,000,03620,00000,00000,0,A,Aspen city,Colorado,6996,6992,6943,6731,6619,6556
162,08,000,03950,00000,00000,0,A,Ault town,Colorado,1884,1919,2365,2485,2656,2660
162,08,000,04000,00000,00000,0,A,Aurora city,Colorado,386333,386804,390589,394128,397573,403130
162,08,000,04110,00000,00000,0,A,Avon town,Colorado,6065,6137,6006,5882,5936,5898
162,08,000,04935,00000,00000,0,A,Basalt town,Colorado,3996,3987,4053,4044,4000,4001
162,08,000,05265,00000,00000,0,A,Bayfield town,Colorado,2861,2866,2910,2913,2895,2923
162,08,000,06090,00000,00000,0,A,Bennett town,Colorado,2871,2906,3303,3533,3570,3916
162,08,000,06255,00000,00000,0,A,Berthoud town,Colorado,10335,10611,11692,12724,13259,13648
162,08,000,06530,00000,00000,0,A,Bethune town,Colorado,182,181,177,179,182,185
162,08,000,07025,00000,00000,0,A,Black Hawk city,Colorado,120,120,121,121,120,120
162,08,000,07190,00000,00000,0,A,Blanca town,Colorado,323,323,334,335,336,342
162,08,000,07410,00000,00000,0,A,Blue River town,Colorado,873,870,870,850,849,836
162,08,000,07795,00000,00000,0,A,Boone town,Colorado,305,305,308,308,307,308
162,08,000,07850,00000,00000,0,A,Boulder city,Colorado,108556,108418,104316,106079,106634,106803
162,08,000,08070,00000,00000,0,A,Bow Mar town,Colorado,854,852,844,832,828,833
162,08,000,08345,00000,00000,0,A,Branson town,Colorado,55,55,56,57,57,57
162,08,000,08400,00000,00000,0,A,Breckenridge town,Colorado,5079,5056,4989,4934,4954,4892
162,08,000,08675,00000,00000,0,A,Brighton city,Colorado,40072,40294,40878,41949,42660,43473
162,08,000,09115,00000,00000,0,A,Brookside town,Colorado,236,236,240,243,243,241
162,08,000,09280,00000,00000,0,A,Broomfield city,Colorado,74106,74494,75430,76245,77029,78323
162,08,000,09555,00000,00000,0,A,Brush city,Colorado,5342,5323,5262,5282,5308,5370
162,08,000,10105,00000,00000,0,A,Buena Vista town,Colorado,2851,2863,2998,3046,3077,3127
162,08,000,10600,00000,00000,0,A,Burlington city,Colorado,3181,3172,3108,3142,3154,3171
162,08,000,11260,00000,00000,0,A,Calhan town,Colorado,765,764,761,742,734,730
162,08,000,11645,00000,00000,0,A,Campo town,Colorado,103,102,102,100,97,97
162,08,000,11810,00000,00000,0,A,Cañon City city,Colorado,17128,16942,17120,17212,17236,17193
162,08,000,12030,00000,00000,0,A,Carbonate town,Colorado,0,0,0,0,0,0
162,08,000,12045,00000,00000,0,A,Carbondale town,Colorado,6449,6463,6498,6668,6746,6758
162,08,000,12387,00000,00000,0,A,Castle Pines city,Colorado,11036,11213,12309,13507,14791,15162
162,08,000,12415,00000,00000,0,A,Castle Rock town,Colorado,73158,73888,76657,80235,81654,83213
162,08,000,12635,00000,00000,0,A,Cedaredge town,Colorado,2278,2287,2339,2362,2412,2432
162,08,000,12815,00000,00000,0,A,Centennial city,Colorado,108425,108202,107402,107508,109063,108853
162,08,000,12855,00000,00000,0,A,Center town,Colorado,1932,1930,1943,1930,1917,1889
162,08,000,12900,00000,00000,0,A,Central city,Colorado,787,787,793,791,786,793
